一级类目,一级类目ID,二级类目,二级类目ID,三级类目,三级类目ID,关键词,ID,状态,推荐,来源
家居家纺,1620,家纺,1621,床垫/床褥,1631,宾馆床垫,fc2e15970bff68b3,停用,普通,品牌词
礼品箱包,1672,礼品,2599,工艺礼品,1445,内置式臭氧发生器,e9fbabc41fd943fc,停用,普通,品牌词
家居家纺,1620,家纺,1621,被套,13818,纯棉被罩,15aaec9916ad4e58,停用,普通,品牌词
图书,1713,工业技术,3282,参考工具书,3702,固体聚合硫酸铁,e7ea65d3a884af88,停用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,木制家具,33763564b9e75576,停用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,红木家私,77609145d5a7881c,停用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,红木古典家具,6376f8442a347478,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,凉鞋/沙滩鞋,6909,包头凉鞋,4ecd8cae78b5bb49,停用,普通,品牌词
运动户外,1318,户外装备,1462,户外配饰,2629,户外铁艺灯,3c3ddabd6f417556,停用,普通,品牌词
运动户外,1318,户外装备,1462,户外配饰,2629,头箍,33c7a81ffbb2c22e,停用,普通,品牌词
家用电器,737,生活电器,738,净水器,898,实验室超纯水机,568ad127ddce6830,停用,普通,品牌词
家用电器,737,生活电器,738,饮水机,750,公共饮水平台,a8bfb1227c30376d,停用,普通,品牌词
农资绿植,12473,园林/农耕,12479,农业机械/工具,12514,油墨丝印,23e408db3f0b861e,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,炮弹鞋,1c3adf41ca129ab6,停用,普通,品牌词
家装建材,9855,五金工具,9858,家用五金,9920,液体聚丙烯酰胺,2cdcb0c2806bdbf0,停用,普通,品牌词
礼品箱包,1672,礼品,2599,工艺礼品,1445,小型臭氧发生器,f7fa6b436158f1cf,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,正装鞋,6906,欧版皮鞋,370acb4a2414b5a6,停用,普通,品牌词
家具,9847,卧室家具,9848,床垫,9864,3D睡眠床垫,06c3488b63d9a5a3,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,挂件摆件,11888,新沉香木,17fa2bcec40e22ea,停用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,欧式太子床,b0ff2211f409124f,停用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,卧室柜类,babd05abf2a3c671,停用,普通,品牌词
农资绿植,12473,园林/农耕,12479,农业机械/工具,12514,聚丙烯酰胺絮凝剂,b6a28a8691dffe18,停用,普通,品牌词
农资绿植,12473,园林/农耕,12479,农业机械/工具,12514,工业粉状活性炭,1c11bf554bf618a0,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,挂件摆件,11888,红色沉香木,bbcc526392ea2ded,停用,普通,品牌词
家用电器,737,生活电器,738,其它生活电器,825,OZ臭氧发生器,9be64baf51a60576,停用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,板式套房家具,c0d17001ea4c9156,停用,普通,品牌词
农资绿植,12473,农药,12565,园艺药剂,14220,O3臭氧发生器,d7a6c3f1484e276b,停用,普通,品牌词
美妆个护,1316,香水彩妆,1387,美妆工具,1429,美发工具箱,8c6029e641701773,停用,普通,品牌词
服饰内衣,1315,服饰配件,1346,围巾/手套/帽子套装,1376,韩版围巾帽子,55ff323beeb2de3d,停用,普通,品牌词
家具,9847,客厅家具,9849,边桌/茶几,9872,樱桃木家具,3658c7f5adcdeeba,停用,普通,品牌词
运动户外,1318,户外装备,1462,户外配饰,2629,围巾手套,4c5887367615fb17,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,挂件摆件,11888,白色沉香木,30b109be25adf146,停用,普通,品牌词
家具,9847,卧室家具,9848,床垫,9864,贵族床垫,ae08089aa3ad20ad,停用,普通,品牌词
农资绿植,12473,园林/农耕,12479,资材,12583,led充电吧台灯,66b51c4839b70ad5,停用,普通,品牌词
运动户外,1318,户外装备,1462,户外配饰,2629,平板电脑包,3336c70901a2ad2b,停用,普通,品牌词
服饰内衣,1315,内衣,1345,吊带/背心,1365,竹纤维被芯,4398fe450ab38a46,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,挂件摆件,11888,沙沉香木,85c55491b7de1605,停用,普通,品牌词
家具,9847,客厅家具,9849,边桌/茶几,9872,红木茶桌,46c3af005ce8044e,停用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,黑檀家具,ecd08e1917bcbe7e,停用,普通,品牌词
家装建材,9855,墙地面材料,9860,木材/板材,9935,板材家具,75eea1782f9464d9,停用,普通,品牌词
宠物生活,6994,水族,13968,鱼缸/水族箱,13969,家用浴缸,1a841f1a4e989efc,停用,普通,品牌词
家居家纺,1620,生活日用,1624,净化除味,1661,污水果壳活性炭,440797aea0fb9a1a,停用,普通,品牌词
礼品箱包,1672,礼品,2599,创意礼品,5266,曲木家具,e0a32225ac975f2a,停用,普通,品牌词
家具,9847,餐厅家具,9850,餐桌,9877,红木餐桌,13df82af9474d45a,停用,普通,品牌词
珠宝首饰,6144,木手串/把件,12041,沉香木,12049,百年沉香木,6690f4021ae1fdbb,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,座垫,11881,硬木椅子,1c8101b177e22ffb,停用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,真皮软包床,df17a952a6e15365,停用,普通,品牌词
礼品箱包,1672,鲜花速递,14227,卡通花束,14237,不锈钢防爆地漏,28dcb0b06509af56,停用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,英式双人床,ad6c5ca3cb680149,停用,普通,品牌词
母婴,1319,童装,11842,靴子,11231,儿童马丁靴,4b99ac22d047dea7,停用,普通,品牌词
家具,9847,客厅家具,9849,边桌/茶几,9872,红木茶几,2d3661e90ab392e5,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,挂件摆件,11888,红沉香木,d88bf2c8a1585ee2,停用,普通,品牌词
母婴,1319,寝居服饰,6313,家居床品,6316,特价婴儿床,07fa61d6ce19a9c1,停用,普通,品牌词
家具,9847,卧室家具,9848,斗柜,9867,多斗柜,090ec22536108cd7,停用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,义乳文胸,da844efff227614c,停用,普通,品牌词
运动户外,1318,户外装备,1462,户外配饰,2629,帽子手套,0c3b814d4de42818,停用,普通,品牌词
运动户外,1318,运动鞋包,12099,篮球鞋,9757,女子篮球鞋,02fa19f637ddfb0b,停用,普通,品牌词
家具,9847,卧室家具,9848,衣柜,11972,铝合金家具,462835368406bfa8,停用,普通,品牌词
家具,9847,卧室家具,9848,衣柜,11972,高档衣柜移门,f67c350bc0ebff43,停用,普通,品牌词
服饰内衣,1315,女装,1343,棉服,9705,韩版棉服,b07c777a22c48a11,停用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,项链,6188,一颗钻石项链,87b299b263a04387,停用,普通,品牌词
家装建材,9855,灯饰照明,9856,节能灯,9899,室外落地灯,87e339e73686e2da,停用,普通,品牌词
礼品箱包,1672,礼品,2599,工艺礼品,1445,欧美风格家具,178efcddd7f001a9,停用,普通,品牌词
服饰内衣,1315,服饰配件,1346,毛线/布面料,12038,编织围巾帽子,bb4a746e4dd44eef,停用,普通,品牌词
珠宝首饰,6144,钻石,6160,钻石项链/吊坠,6163,小钻石项链,ae22fa8c2e1ca1c1,停用,普通,品牌词
礼品箱包,1672,精品男包,2576,商务公文包,1455,男子公文包,d779b89901d8e0cc,停用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,实木公寓床,5172137c47ea89a3,停用,普通,品牌词
服饰内衣,1315,服饰配件,1346,女士丝巾/围巾/披肩,12021,围巾连帽子,47de113073462d92,停用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,陶瓷桌凳,2982ea9d8bd7e7ee,停用,普通,品牌词
教育音像,4053,周边产品,9110,模型组装,11443,亚克力板,1bdb356f7749f2c9,停用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,红木家俬,2e0022e7e5f9962a,停用,普通,品牌词
服饰内衣,1315,内衣,1345,连裤袜/丝袜,9748,一线内衣,d66a37f15c38821c,停用,普通,品牌词
家装建材,9855,墙地面材料,9860,瓷砖,9933,装修材料,d2dc07b38d1494c2,停用,普通,品牌词
礼品箱包,1672,功能箱包,2577,电脑包,3997,高级双肩包,3d2044868475c04e,停用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,项链,6188,绿钻石项链,a095c2633f18d9bf,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,车身装饰件,11953,轿车车贴,21c5c4a49f19fc3c,停用,普通,品牌词
宠物生活,6994,家居日用,6998,猫砂/猫砂盆,7020,自动猫砂盆,0eb3f0c306d21419,停用,普通,品牌词
运动户外,1318,户外鞋服,2628,功能内衣,12132,功能型内衣,d97de02ffdba05cd,停用,普通,品牌词
宠物生活,6994,家居日用,6998,猫砂/猫砂盆,7020,猫砂马桶,80337102068b1e78,停用,普通,品牌词
服饰内衣,1315,女装,1343,礼服,11996,礼服,08aed7bded0d3d57,停用,普通,品牌词
家装建材,9855,灯饰照明,9856,落地灯,9901,室内落地灯,e3ce60831ca996b2,停用,普通,品牌词
服饰内衣,1315,服饰配件,1346,围巾/手套/帽子套装,1376,儿童围巾手套,bc19fb533349af13,停用,普通,品牌词
运动户外,1318,户外鞋服,2628,徒步鞋,12136,户外跑步鞋,a28926887438a7b9,停用,普通,品牌词
家用电器,737,个护健康,1276,洁面仪,14380,洁面仪,a8fa10b1a96fee29,停用,普通,品牌词
礼品箱包,1672,功能箱包,2577,旅行包,2588,便宜旅行包,f69f7eefd25fbc9a,停用,普通,品牌词
运动户外,1318,运动服饰,12102,运动裤,9766,便宜运动裤,bb77c1a3d8d57cb4,停用,普通,品牌词
家装建材,9855,五金工具,9858,手动工具,9921,手动打蜡机,8c349367f367c543,停用,普通,品牌词
玩具乐器,6233,适用年龄,6234,6-14岁,6243,九岁益智玩具,88bb46842ff4b551,停用,普通,品牌词
珠宝首饰,6144,钻石,6160,钻戒,6162,砖石戒指,b5d1b339d35c6eb6,停用,普通,品牌词
运动户外,1318,运动服饰,12102,运动配饰,12103,nba戒指,7c8eb341b30072e5,停用,普通,品牌词
电脑、办公,670,外设产品,686,线缆,1049,画面分割器,78aca532b6fafd00,停用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,国内内衣,b8a1ad5f2d89af04,停用,普通,品牌词
珠宝首饰,6144,木手串/把件,12041,沉香木,12049,种沉香木,53ae3c4c95c9eb95,停用,普通,品牌词
电脑、办公,670,网络产品,699,网络存储,983,NAS网络存储,2fa0cfa72ccfe84d,停用,普通,品牌词
宠物生活,6994,家居日用,6998,猫砂/猫砂盆,7020,全自动猫砂盆,b7bdd397bc7f49ee,停用,普通,品牌词
宠物生活,6994,家居日用,6998,猫砂/猫砂盆,7020,新猫砂盆,13e94b396e6249bc,停用,普通,品牌词
礼品箱包,1672,礼品,2599,工艺礼品,1445,大型落地灯,4a9bde96972b90bd,停用,普通,品牌词
运动户外,1318,垂钓用品,12147,钓竿,12148,超融合,b77225979ab662ca,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,座垫,11881,红木餐椅,a3469e237192b3dc,停用,普通,品牌词
礼品箱包,1672,功能箱包,2577,拉杆包,13543,l旅行包,5cca5ecc61a6dabb,停用,普通,品牌词
家具,9847,客厅家具,9849,屏风,9874,桦木家具,46bc2241c8f93c0a,停用,普通,品牌词
礼品箱包,1672,功能箱包,2577,旅行包,2588,特价旅行包,e0e2afa0eca9e1ef,停用,普通,品牌词
运动户外,1318,户外装备,1462,旅行装备,2691,电子血氧仪,d62e49ad09a6c79c,停用,普通,品牌词
家具,9847,卧室家具,9848,衣柜,11972,简易竹衣柜,fa0b3e11d8724528,停用,普通,品牌词
服饰内衣,1315,女装,1343,连衣裙,9719,诗梦歌,5f2ed8ecc62e0409,停用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,项链,6188,红钻石项链,7e904608de5995a6,停用,普通,品牌词
服饰内衣,1315,服饰配件,1346,毛线/布面料,12038,织围巾帽子,b83689436018807f,停用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳架/篮,13785,墙体收纳柜,c44deafd71a060d3,停用,普通,品牌词
电脑、办公,670,外设产品,686,鼠标,690,cs鼠标,40088cf07c90651e,停用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,休闲鞋,6916,快时尚女鞋,0dad23cfc702e646,停用,普通,品牌词
家具,9847,储物家具,9852,层架/置物架,9888,客厅摆放家具,9612f53e57d8de90,停用,普通,品牌词
珠宝首饰,6144,钻石,6160,钻石项链/吊坠,6163,大钻石项链,94a1c4378b769435,停用,普通,品牌词
珠宝首饰,6144,珍珠,12042,珍珠手链,12056,珍珠脚链,d5bf2837ca74612e,停用,普通,品牌词
运动户外,1318,运动鞋包,12099,篮球鞋,9757,便宜篮球鞋,d23119303e056f4d,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,功能小件,11889,国产男装,64082a5ed6730be8,停用,普通,品牌词
家用电器,737,大 家 电,794,DVD/电视盒子,965,手机影视播放器,2e5ba46d3b7c2db7,停用,普通,品牌词
医药保健,9192,保健器械,9197,血氧仪,12587,数字血氧仪,3ed6217c11e43e66,停用,普通,品牌词
宠物生活,6994,家居日用,6998,猫砂/猫砂盆,7020,三层猫砂盆,f17c08b2489bc0b6,停用,普通,品牌词
医药保健,9192,保健器械,9197,血氧仪,12587,无线血氧仪,ab2dd7ca8ce53701,停用,普通,品牌词
服饰内衣,1315,男装,1342,T恤,1349,国内男装,7a721ca9bb2275df,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,座垫,11881,奥普悦,18bed5887ba76276,停用,普通,品牌词
家装建材,9855,五金工具,9858,家用五金,9920,木制沙发垫子,8ac5e084809115ec,停用,普通,品牌词
汽车用品,6728,车载电器,6740,行车记录仪,6964,乐驾行车记录仪,5a7e8b7cd6a1037d,停用,普通,品牌词
服饰内衣,1315,男装,1342,T恤,1349,国内时尚男装,51169e722b324301,停用,普通,品牌词
电脑、办公,670,网络产品,699,网卡,701,模块接口卡,4c8fcfcfc0604f78,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,座垫,11881,凉椅沙发坐垫,de742463c9075b12,停用,普通,品牌词
电脑、办公,670,游戏设备,12800,游戏机,12801,掌上电脑,c9fff310b8f2a9b9,停用,普通,品牌词
运动户外,1318,健身训练,1463,其他器械,12113,老沉香木,51f16bcb8bdc73f9,停用,普通,品牌词
运动户外,1318,垂钓用品,12147,钓鱼配件,12151,其它配件,cb42380245e2f32a,停用,普通,品牌词
医药保健,9192,保健器械,9197,血氧仪,12587,脉博血氧仪,8bef12c940a6dfe4,停用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,木制沙发坐垫,3ac3593f52eac966,停用,普通,品牌词
运动户外,1318,运动服饰,12102,T恤,9765,世界运动服,bb497eb9855a3773,停用,普通,品牌词
服饰内衣,1315,内衣,1345,男式内裤,9744,男式t型内裤,d978a58bcbb360bf,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,今年男鞋流行,f006941031ce5c00,停用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,拖鞋/人字拖,9775,竹地板,efa4601230203e98,停用,普通,品牌词
服饰内衣,1315,内衣,1345,泳衣,9753,国外内衣,cad56d21ea83ea92,停用,普通,品牌词
珠宝首饰,6144,彩宝,6174,坦桑石,13074,坦桑石钻石,6b4f4ee6ef64f33f,停用,普通,品牌词
运动户外,1318,户外鞋服,2628,T恤,12130,世界男鞋,8d95a94f495a3134,停用,普通,品牌词
服饰内衣,1315,女装,1343,中老年女装,9721,polo衫西服,07c13573f4d8496e,停用,普通,品牌词
手机,9987,手机配件,830,手机保护套,866,电影电视,fcbbadd868489420,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,今年流行男鞋,7828611cd0305417,停用,普通,品牌词
手机,9987,手机配件,830,手机保护套,866,其他装机配件,75e420a4cb3ae3ae,停用,普通,品牌词
运动户外,1318,骑行运动,12115,穿戴装备,12121,在线手电筒,be381d2ed4422140,停用,普通,品牌词
电脑、办公,670,电脑整机,671,服务器/工作站,674,电脑终端机,608914e651635e23,停用,普通,品牌词
汽车用品,6728,车载电器,6740,车载蓝牙,9962,车载设备,4c0a87b151eee107,停用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,时尚便宜女鞋,840097198beb0e14,停用,普通,品牌词
礼品箱包,1672,功能箱包,2577,电脑包,3997,便宜双肩包,9121ea391b221159,停用,普通,品牌词
电脑、办公,670,办公设备,716,安防监控,7374,IP网络存储,305ad17aa48c81f7,停用,普通,品牌词
服饰内衣,1315,男装,1342,衬衫,1348,polo牌衬衫,478e5286aa9a42bc,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,巴洛克单鞋,bc33a4a3e13a784a,停用,普通,品牌词
电脑、办公,670,电脑整机,671,服务器/工作站,674,小型机,f74bfe2de242b37a,停用,普通,品牌词
电脑、办公,670,网络产品,699,网络存储,983,磁盘阵列,bc1141a4d61b9eaa,停用,普通,品牌词
运动户外,1318,运动鞋包,12099,篮球鞋,9757,airjordan篮球鞋,4f27cefa62b634ae,停用,普通,品牌词
汽车用品,6728,车载电器,6740,倒车雷达,9961,倒车雷达电源,b802b9bf7db36558,停用,普通,品牌词
珠宝首饰,6144,彩宝,6174,戒指,6186,天然坦桑石戒指,c081209d3907649c,停用,普通,品牌词
电脑、办公,670,外设产品,686,硬盘盒,695,硬盘抽取盒,272bf6ddc0bdc46d,停用,普通,品牌词
电脑、办公,670,办公设备,716,投影配件,5010,投影展台,74fc108961f257c1,停用,普通,品牌词
电脑、办公,670,电脑配件,677,散热器,682,cpu铝散热器,618084d7b3532c2d,停用,普通,品牌词
电脑、办公,670,办公设备,716,安防监控,7374,监控采集卡,41d672143f5a5639,停用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳柜,13782,简单收纳柜,17861d4b07091dcc,停用,普通,品牌词
医药保健,9192,保健器械,9197,家庭护理,2687,动态血氧仪,87dbeacd2f883873,停用,普通,品牌词
电脑、办公,670,电脑配件,677,电源,691,服务器电源,c6d4832d6b212a94,停用,普通,品牌词
运动户外,1318,运动鞋包,12099,篮球鞋,9757,nike篮球鞋,8386064de994bf3a,停用,普通,品牌词
家用电器,737,大 家 电,794,迷你音响,1199,智能语音助手,fa499d892e3bc9e9,停用,普通,品牌词
电脑、办公,670,电脑配件,677,CPU,678,装cpu散热器,59c86b44f05c1772,停用,普通,品牌词
家具,9847,客厅家具,9849,鞋柜,9876,室外收纳柜,c7ccef596687431c,停用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,戒指,6190,坦桑石珠宝,51e351b20a790843,停用,普通,品牌词
电脑、办公,670,网络产品,699,路由器,700,ADSL,0e7dc909b2409c22,停用,普通,品牌词
电脑、办公,670,网络产品,699,路由器,700,Modem,bd5865e52cc1cf7c,停用,普通,品牌词
服饰内衣,1315,男装,1342,T恤,1349,世界女装,4dbd09be6aa62c84,停用,普通,品牌词
图书,1713,健身与保健,3269,家庭保健,3498,健康生活,cfb1e91ece09f92f,停用,普通,品牌词
家具,9847,储物家具,9852,层架/置物架,9888,古代落地灯,e91a23396af45e74,停用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,平地单鞋,2f935786a6ee0ca0,停用,普通,品牌词
数码,652,摄影摄像,654,数码相机,831,数码产品,c8c847883f254d3b,停用,普通,品牌词
玩具乐器,6233,益智玩具,6271,早教启智,6277,狗益智玩具,2a99f0010748c1e4,停用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,呛口小辣椒单鞋,22931df06a67a23c,停用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,整木家装,199a083024aac3cb,停用,普通,品牌词
珠宝首饰,6144,木手串/把件,12041,沉香木,12049,黑沉香木,63ee4bcd76c91e98,停用,普通,品牌词
电脑、办公,670,电脑整机,671,服务器/工作站,674,瘦客户机,96304215603eb58e,停用,普通,品牌词
运动户外,1318,运动鞋包,12099,篮球鞋,9757,nba篮球鞋,32692c114279b415,停用,普通,品牌词
服饰内衣,1315,女装,1343,衬衫,1354,polo衫西裤,7ae23bb5028b8677,停用,普通,品牌词
礼品箱包,1672,礼品,2599,创意礼品,5266,公司电话机,73c2de95d36653c1,停用,普通,品牌词
手机,9987,手机配件,830,蓝牙耳机,863,手机推耳机,f72b03ddf4a8d92c,停用,普通,品牌词
家装建材,9855,灯饰照明,9856,落地灯,9901,高档落地灯,0627efc728ed6e7e,停用,普通,品牌词
服饰内衣,1315,男装,1342,POLO衫,9733,polo衫衣,ce7e7d1dd073fc4f,停用,普通,品牌词
运动户外,1318,户外装备,1462,户外配饰,2629,磁带库,2fb3ef3ce48c2ebe,停用,普通,品牌词
图书,1713,计算机与互联网,3287,网络与通信,3803,SAN网络存储,4489df38972bb023,停用,普通,品牌词
电脑、办公,670,办公设备,716,安防监控,7374,视频采集卡,0a1257d5453df835,停用,普通,品牌词
服饰内衣,1315,内衣,1345,男式内裤,9744,ab男式内裤,e14cec18e33b1f67,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,挂件摆件,11888,水沉香木,6c3df8115e9d0061,停用,普通,品牌词
教育音像,4053,软件,4902,建筑软件,4932,电视墙与操作台,ab718d6d014f7f62,停用,普通,品牌词
家装建材,9855,电工电料,9859,接线板/排插,11958,PDU电源分配器,cbb80bedd1f8fbdb,停用,普通,品牌词
厨具,6196,餐具,6227,餐具套装,6228,精美餐具,c4d381aabca666c3,停用,普通,品牌词
服饰内衣,1315,女装,1343,中老年女装,9721,polo衫西装,8a2269deae6ef93d,停用,普通,品牌词
电脑、办公,670,外设产品,686,线缆,1049,服务器配件,05d9a07675ffc096,停用,普通,品牌词
家居家纺,1620,家纺,1621,被子,1627,世界空调,621551e2ac61157c,停用,普通,品牌词
电脑、办公,670,电脑配件,677,主板,681,主板芯片组,63d032cef9f87965,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,国内皮鞋,8764ee236dcf86ba,停用,普通,品牌词
电脑、办公,670,电脑配件,677,显示器,688,液晶屏升降系统,23a64939b3e14930,停用,普通,品牌词
电脑、办公,670,电脑配件,677,声卡/扩展卡,5008,多串口卡,23895a87857483ea,停用,普通,品牌词
电脑、办公,670,电脑整机,671,笔记本配件,675,扩展配件,b0f16874b8ff9092,停用,普通,品牌词
家具,9847,餐厅家具,9850,餐边柜,9878,法式餐边柜,b33d2b7675be710e,停用,普通,品牌词
家装建材,9855,厨房卫浴,9857,马桶,9910,塑料马桶盖,610db125f5478340,停用,普通,品牌词
运动户外,1318,垂钓用品,12147,辅助装备,12153,国产收音机,af7254da49815de3,停用,普通,品牌词
家装建材,9855,电工电料,9859,智能家居,9927,视频服务器,a783dc33451bae41,停用,普通,品牌词
电脑、办公,670,电脑整机,671,笔记本配件,675,笔记本扩展坞/底座,a872039f9c7ad7d7,停用,普通,品牌词
电脑、办公,670,电脑整机,671,笔记本配件,675,笔记本美容,45207a3d504da80a,停用,普通,品牌词
家具,9847,办公家具,9854,会议台/桌,9896,数码讲台手写屏,b84762c71dc9ad19,停用,普通,品牌词
电脑、办公,670,办公设备,716,投影配件,5010,背投拼接,3013f554c29d4161,停用,普通,品牌词
家用电器,737,大 家 电,794,DVD/电视盒子,965,蓝光播放器,b336628d8d10d84d,停用,普通,品牌词
电脑、办公,670,电脑整机,671,服务器/工作站,674,服务器准系统,11db8f52a1ec7f61,停用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,国内文胸,e2a020947c0a1da2,停用,普通,品牌词
珠宝首饰,6144,彩宝,6174,坦桑石,13074,坦桑石耳环,1c4c5a74e9335a3a,停用,普通,品牌词
礼品箱包,1672,精品男包,2576,商务公文包,1455,高级公文包,935622b6532f6893,停用,普通,品牌词
家用电器,737,大 家 电,794,家电配件,877,家电其他,5f27ddf524168a1b,停用,普通,品牌词
服饰内衣,1315,男装,1342,羽绒服,3982,夹克羽绒服,c39db6abae0b9423,停用,普通,品牌词
厨具,6196,厨房配件,6214,厨房DIY/小工具,11978,拉面条机,4b87c34228da833e,停用,普通,品牌词
图书,1713,工业技术,3282,参考工具书,3702,等离子显示器,34d83f5e49b6fe00,停用,普通,品牌词
电脑、办公,670,办公设备,716,打印机,717,大幅面打印机,1f7205944b4ab529,停用,普通,品牌词
运动户外,1318,垂钓用品,12147,钓竿,12148,免费手电筒,070969f354e2cf81,停用,普通,品牌词
运动户外,1318,户外装备,1462,野餐用品,1477,商用小烤箱,1d02fc7202dbd184,停用,普通,品牌词
汽车用品,6728,汽车装饰,6745,座垫,11881,金丝楠三件套,7f739354fb7c61a7,停用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,变频器,fa824377335581fd,停用,普通,品牌词
服饰内衣,1315,男装,1342,POLO衫,9733,polo广告衫,a7ceb5ca0002878d,停用,普通,品牌词
家用电器,737,生活电器,738,电话机,806,程控交换机,eed01e60f2e35523,停用,普通,品牌词
电脑、办公,670,办公设备,716,会议音频视频,7375,多屏显示设备,1ad9c5f337bae48c,停用,普通,品牌词
电脑、办公,670,办公设备,716,投影机,722,显示芯片,626354e8b6c25a80,停用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,女靴,9776,马丁靴单鞋,7d900dfc7fc96f3a,停用,普通,品牌词
图书,1713,计算机与互联网,3287,硬件与维护,3811,装机硬件,cfc467e6e079fbfe,停用,普通,品牌词
家具,9847,办公家具,9854,班台/班桌,9894,班台班椅,bfae75c5f6196e1f,停用,普通,品牌词
电脑、办公,670,办公设备,716,扫描设备,721,3D扫描仪,c0a65308c76b1934,停用,普通,品牌词
家居家纺,1620,家纺,1621,床垫/床褥,1631,国际床垫,dd370f7be3caae64,停用,普通,品牌词
礼品箱包,1672,功能箱包,2577,相机包,12074,d4单反相机,56782f121b2ff552,停用,普通,品牌词
礼品箱包,1672,礼品,2599,创意礼品,5266,玻璃娃娃,197b859176691b5b,停用,普通,品牌词
礼品箱包,1672,功能箱包,2577,相机包,12074,单反相机双肩包,d55f63aef81d3259,停用,普通,品牌词
电脑、办公,670,办公设备,716,安防监控,7374,无线高清,5906b4f5349ee003,停用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳柜,13782,房间收纳柜,6068efa1abcbb133,停用,普通,品牌词
服饰内衣,1315,女装,1343,中老年女装,9721,polo衫布料,73284408ff70bf6c,停用,普通,品牌词
服饰内衣,1315,男装,1342,休闲裤,9736,polo衫裤子,ec4ceb4d2417d1f7,停用,普通,品牌词
汽车用品,6728,维修保养,6742,蓄电池,9971,电瓶,d76ea5f9d4bd73d4,停用,普通,品牌词
服饰内衣,1315,男装,1342,POLO衫,9733,polo衫短裤,b2e1d84067cb9914,停用,普通,品牌词
手机,9987,手机配件,830,手机保护套,866,手机当耳机,ef30f78b80508939,停用,普通,品牌词
电脑、办公,670,网络产品,699,网络配件,12370,连接线转接卡,f566d180a5fe2237,停用,普通,品牌词
运动户外,1318,健身训练,1463,其他器械,12113,美容护肤仪,813d05a0e09c2cc4,停用,普通,品牌词
影视,4052,卡通/动画,4091,卡通电视,4431,TV卡,b3745316c712ed57,停用,普通,品牌词
家具,9847,书房家具,9851,电脑椅,9882,一体电脑椅,d17e784377e1f952,停用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,女子单鞋,6abdc060e6bb2b04,停用,普通,品牌词
运动户外,1318,健身训练,1463,其他器械,12113,护肤美容仪,51d7b11a113448b4,停用,普通,品牌词
家装建材,9855,厨房卫浴,9857,马桶,9910,圆形马桶盖,9d34a548c08409f4,停用,普通,品牌词
